EventName
UFC on ESPN: Santos vs. Hill
UFC 277: Peña vs. Nunes 2
UFC Fight Night: Blaydes vs. Aspinall
UFC on ABC: Ortega vs. Rodríguez
UFC on ESPN: dos Anjos vs. Fiziev
UFC 276: Adesanya vs. Cannonier
UFC on ESPN: Tsarukyan vs. Gamrot
UFC on ESPN: Kattar vs. Emmett
UFC 275: Teixeira vs. Procházka
UFC Fight Night: Volkov vs. Rozenstruik
UFC Fight Night: Holm vs. Vieira
UFC on ESPN: Błachowicz vs. Rakić
UFC 274: Oliveira vs. Gaethje
UFC on ESPN: Font vs. Vera
UFC Fight Night: Lemos vs. Andrade
UFC on ESPN: Luque vs. Muhammad 2
UFC 273: Volkanovski vs. The Korean Zombie
UFC on ESPN: Blaydes vs. Daukaus
UFC Fight Night: Volkov vs. Aspinall
UFC Fight Night: Santos vs. Ankalaev
UFC 272: Covington vs. Masvidal
UFC Fight Night: Makhachev vs. Green
UFC Fight Night: Walker vs. Hill
UFC 271: Adesanya vs. Whittaker 2
UFC Fight Night: Hermansson vs. Strickland
UFC 270: Ngannou vs. Gane
UFC on ESPN: Kattar vs. Chikadze
UFC Fight Night: Lewis vs. Daukaus
UFC 269: Oliveira vs. Poirier
UFC on ESPN: Font vs. Aldo
UFC Fight Night: Vieira vs. Tate
UFC Fight Night: Holloway vs. Rodríguez
UFC 268: Usman vs. Covington 2
UFC 267: Błachowicz vs. Teixeira
UFC Fight Night: Costa vs. Vettori
UFC Fight Night: Ladd vs. Dumont
UFC Fight Night: Dern vs. Rodriguez
UFC Fight Night: Santos vs. Walker
UFC 266: Volkanovski vs. Ortega
UFC Fight Night: Smith vs. Spann
UFC Fight Night: Brunson vs. Till
UFC on ESPN: Barboza vs. Chikadze
UFC on ESPN: Cannonier vs. Gastelum
UFC 265: Lewis vs. Gane
UFC on ESPN: Hall vs. Strickland
UFC on ESPN: Sandhagen vs. Dillashaw
UFC on ESPN: Makhachev vs. Moisés
UFC 264: Poirier vs. McGregor 3
UFC Fight Night: Gane vs. Volkov
UFC on ESPN: The Korean Zombie vs. Ige
UFC 263: Adesanya vs. Vettori 2
UFC Fight Night: Rozenstruik vs. Sakai
UFC Fight Night: Font vs. Garbrandt
UFC 262: Oliveira vs. Chandler
UFC on ESPN: Rodriguez vs. Waterson
UFC on ESPN: Reyes vs. Procházka
UFC 261: Usman vs. Masvidal 2
UFC on ESPN: Whittaker vs. Gastelum
UFC on ABC: Vettori vs. Holland
UFC 260: Miocic vs. Ngannou 2
UFC on ESPN: Brunson vs. Holland
UFC Fight Night: Edwards vs. Muhammad
UFC 259: Błachowicz vs. Adesanya
UFC Fight Night: Rozenstruik vs. Gane
UFC Fight Night: Blaydes vs. Lewis
UFC 258: Usman vs. Burns
UFC Fight Night: Overeem vs. Volkov
UFC 257: Poirier vs. McGregor 2
UFC on ESPN: Chiesa vs. Magny
UFC on ABC: Holloway vs. Kattar
UFC Fight Night: Thompson vs. Neal
UFC 256: Figueiredo vs. Moreno
UFC on ESPN: Hermansson vs. Vettori
UFC on ESPN: Smith vs. Clark
UFC 255: Figueiredo vs. Perez
UFC Fight Night: Felder vs. dos Anjos
UFC on ESPN: Santos vs. Teixeira
UFC Fight Night: Hall vs. Silva
UFC 254: Khabib vs. Gaethje
UFC Fight Night: Ortega vs. The Korean Zombie
UFC Fight Night: Moraes vs. Sandhagen
UFC on ESPN: Holm vs. Aldana
UFC 253: Adesanya vs. Costa
UFC Fight Night: Covington vs. Woodley
UFC Fight Night: Waterson vs. Hill
UFC Fight Night: Overeem vs. Sakai
UFC Fight Night: Smith vs. Rakić
UFC on ESPN: Munhoz vs. Edgar
UFC 252: Miocic vs. Cormier 3
UFC Fight Night: Lewis vs. Oleinik
UFC Fight Night: Brunson vs. Shahbazyan
UFC on ESPN: Whittaker vs. Till
UFC Fight Night: Figueiredo vs. Benavidez 2
UFC on ESPN: Kattar vs. Ige
UFC 251: Usman vs. Masvidal
UFC on ESPN: Poirier vs. Hooker
UFC on ESPN: Blaydes vs. Volkov
UFC on ESPN: Eye vs. Calvillo
UFC 250: Nunes vs. Spencer
UFC on ESPN: Woodley vs. Burns
UFC on ESPN: Overeem vs. Harris
UFC Fight Night: Smith vs. Teixeira
UFC 249: Ferguson vs. Gaethje
UFC Fight Night: Hermansson vs. Weidman
UFC Fight Night: Smith vs. Teixeira
UFC Fight Night: Overeem vs. Harris
UFC on ESPN: Ngannou vs. Rozenstruik
UFC Fight Night: Woodley vs. Edwards
UFC Fight Night: Lee vs. Oliveira
UFC 248: Adesanya vs. Romero
UFC Fight Night: Benavidez vs. Figueiredo
UFC Fight Night: Felder vs. Hooker
UFC Fight Night: Anderson vs. Błachowicz 2
UFC 247: Jones vs. Reyes
UFC Fight Night: Blaydes vs. dos Santos
UFC 246: McGregor vs. Cowboy
UFC Fight Night: Edgar vs. The Korean Zombie
UFC 245: Usman vs. Covington
UFC on ESPN: Overeem vs. Rozenstruik
UFC Fight Night: Błachowicz vs. Jacaré
UFC Fight Night: Magomedsharipov vs. Kattar
UFC 244: Masvidal vs. Diaz
UFC Fight Night: Maia vs. Askren
UFC on ESPN: Reyes vs. Weidman
UFC Fight Night: Joanna vs. Waterson
UFC 243: Whittaker vs. Adesanya
UFC Fight Night: Hermansson vs. Cannonier
UFC Fight Night: Rodríguez vs. Stephens
UFC Fight Night: Cowboy vs. Gaethje
UFC 242: Khabib vs. Poirier
UFC Fight Night: Andrade vs. Zhang
UFC 241: Cormier vs. Miocic 2
UFC Fight Night: Shevchenko vs. Carmouche 2
UFC on ESPN: Covington vs. Lawler
UFC 240: Holloway vs. Edgar
UFC on ESPN: dos Anjos vs. Edwards
UFC Fight Night: de Randamie vs. Ladd
UFC 239: Jones vs. Santos
UFC on ESPN: Ngannou vs. dos Santos
UFC Fight Night: Moicano vs. The Korean Zombie
UFC 238: Cejudo vs. Moraes
UFC Fight Night: Gustafsson vs. Smith
UFC Fight Night: dos Anjos vs. Lee
UFC 237: Namajunas vs. Andrade
UFC Fight Night: Iaquinta vs. Cowboy
UFC Fight Night: Jacaré vs. Hermansson
UFC Fight Night: Overeem vs. Oleinik
UFC 236: Holloway vs. Poirier 2
UFC on ESPN: Barboza vs. Gaethje
UFC Fight Night: Thompson vs. Pettis
UFC Fight Night: Till vs. Masvidal
UFC Fight Night: Lewis vs. dos Santos
UFC 235: Jones vs. Smith
UFC Fight Night: Błachowicz vs. Santos
UFC on ESPN: Ngannou vs. Velasquez
UFC 234: Adesanya vs. Silva
UFC Fight Night: Assunção vs. Moraes 2
UFC 233: Cejudo vs. Dillashaw
UFC Fight Night: Cejudo vs. Dillashaw
UFC 232: Jones vs. Gustafsson 2
UFC on Fox: Lee vs. Iaquinta 2
UFC 231: Holloway vs. Ortega
UFC Fight Night: dos Santos vs. Tuivasa
The Ultimate Fighter: Heavy Hitters Finale
UFC Fight Night: Blaydes vs. Ngannou 2
UFC Fight Night: Magny vs. Ponzinibbio
UFC Fight Night: The Korean Zombie vs. Rodríguez
UFC 230: Cormier vs. Lewis
UFC Fight Night: Volkan vs. Smith
UFC 229: Khabib vs. McGregor
UFC Fight Night: Santos vs. Anders
UFC Fight Night: Hunt vs. Oleinik
UFC 228: Woodley vs. Till
UFC Fight Night: Gaethje vs. Vick
UFC 227: Dillashaw vs. Garbrandt 2
UFC on Fox: Alvarez vs. Poirier 2
UFC Fight Night: Shogun vs. Smith
UFC Fight Night: dos Santos vs. Ivanov
UFC 226: Miocic vs. Cormier
The Ultimate Fighter: Undefeated Finale
UFC Fight Night: Cowboy vs. Edwards
UFC 225: Whittaker vs. Romero 2
UFC Fight Night: Rivera vs. Moraes
UFC Fight Night: Thompson vs. Till
UFC Fight Night: Maia vs. Usman
UFC 224: Nunes vs. Pennington
UFC Fight Night: Barboza vs. Lee
UFC on Fox: Poirier vs. Gaethje
UFC 223: Khabib vs. Iaquinta
UFC Fight Night: Werdum vs. Volkov
UFC 222: Cyborg vs. Kunitskaya
UFC on Fox: Emmett vs. Stephens
UFC Fight Night: Cowboy vs. Medeiros
UFC 221: Romero vs. Rockhold
UFC Fight Night: Machida vs. Anders
UFC on Fox: Jacaré vs. Brunson 2
UFC 220: Miocic vs. Ngannou
UFC Fight Night: Stephens vs. Choi
UFC 219: Cyborg vs. Holm
UFC on Fox: Lawler vs. dos Anjos
UFC Fight Night: Swanson vs. Ortega
UFC 218: Holloway vs. Aldo 2
The Ultimate Fighter: A New World Champion Finale
UFC Fight Night: Bisping vs. Gastelum
UFC Fight Night: Werdum vs. Tybura
UFC Fight Night: Poirier vs. Pettis
UFC 217: Bisping vs. St-Pierre
UFC Fight Night: Brunson vs. Machida
UFC Fight Night: Cowboy vs. Till
UFC 216: Ferguson vs. Lee
UFC Fight Night: Saint Preux vs. Okami
UFC Fight Night: Rockhold vs. Branch
UFC 215: Nunes vs. Shevchenko 2
UFC Fight Night: Volkov vs. Struve
UFC Fight Night: Pettis vs. Moreno
UFC 214: Cormier vs. Jones 2
UFC on Fox: Weidman vs. Gastelum
UFC Fight Night: Nelson vs. Ponzinibbio
UFC 213: Romero vs. Whittaker
The Ultimate Fighter: Redemption Finale
UFC Fight Night: Chiesa vs. Lee
UFC Fight Night: Holm vs. Correia
UFC Fight Night: Lewis vs. Hunt
UFC 212: Aldo vs. Holloway
UFC Fight Night: Gustafsson vs. Teixeira
UFC 211: Miocic vs. dos Santos 2
UFC Fight Night: Swanson vs. Lobov
UFC on Fox: Johnson vs. Reis
UFC 210: Cormier vs. Johnson 2
UFC Fight Night: Manuwa vs. Anderson
UFC Fight Night: Belfort vs. Gastelum
UFC 209: Woodley vs. Thompson 2
UFC Fight Night: Lewis vs. Browne
UFC 208: Holm vs. de Randamie
UFC Fight Night: Bermudez vs. The Korean Zombie
UFC on Fox: Shevchenko vs. Peña
UFC Fight Night: Rodríguez vs. Penn
UFC 207: Nunes vs. Rousey
UFC on Fox: VanZant vs. Waterson
UFC 206: Holloway vs. Pettis
UFC Fight Night: Lewis vs. Abdurakhimov
The Ultimate Fighter: Tournament of Champions Finale
UFC Fight Night: Whittaker vs. Brunson
UFC Fight Night: Bader vs. Nogueira 2
UFC Fight Night: Mousasi vs. Hall 2
UFC 205: Alvarez vs. McGregor
The Ultimate Fighter Latin America 3 Finale: dos Anjos vs. Ferguson
UFC Fight Night: Lamas vs. Penn
UFC 204: Bisping vs. Henderson 2
UFC Fight Night: Lineker vs. Dodson
UFC Fight Night: Cyborg vs. Länsberg
UFC Fight Night: Poirier vs. Johnson
UFC 203: Miocic vs. Overeem
UFC Fight Night: Arlovski vs. Barnett
UFC on Fox: Maia vs. Condit
UFC 202: Diaz vs. McGregor 2
UFC Fight Night: Rodríguez vs. Caceres
UFC 201: Lawler vs. Woodley
UFC on Fox: Holm vs. Shevchenko
UFC Fight Night: McDonald vs. Lineker
UFC 200: Tate vs. Nunes
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale
UFC Fight Night: dos Anjos vs. Alvarez
UFC Fight Night: MacDonald vs. Thompson
UFC 199: Rockhold vs. Bisping 2
UFC Fight Night: Almeida vs. Garbrandt
UFC 198: Werdum vs. Miocic
UFC Fight Night: Overeem vs. Arlovski
UFC 197: Jones vs. Saint Preux
